epoch,train_loss,val_loss,epoch_time
1,3.150152281182153,0.20654049175126213,872.737322807312
2,0.1092388208352384,0.10939442281212125,867.4929645061493
3,0.0701503354594821,0.08036278600671462,819.8225150108337
4,0.04111348309687206,0.02985235064157418,816.3164315223694
5,0.03835585693518321,0.09158130032675607,816.8517248630524
6,0.035647821848591166,0.044429713700498856,831.3210852146149
7,0.027527982131356286,0.02516535222530365,821.4094953536987
8,0.03316233233504352,0.030451080881591354,820.9003443717957
9,0.023441051982697986,0.03046268784840192,812.8111646175385
10,0.027713654027098703,0.029891440165894373,833.4464602470398
11,0.020199975073337553,0.02760097367156829,826.1887955665588
12,0.018282067420936767,0.02873237178261791,816.4590330123901
13,0.015394314719097956,0.020293325455194074,818.1852951049805
14,0.015648287820319334,0.039837379128273044,790.3207213878632
15,0.01352459504756899,0.02664351293018886,809.2953550815582
16,0.009941044533181759,0.01983801457764847,837.3059060573578
17,0.01391099518785874,0.028083911750997816,786.257883310318
18,0.014411293426085086,0.019846996851265432,790.0695607662201
19,0.01293948161814894,0.016258572873526386,780.2557327747345
20,0.009980241654529457,0.030453191484723773,791.1624953746796
21,0.011104238111348379,0.027443639202309505,805.9675834178925
22,0.014197856959487712,0.023481982440820764,794.9382128715515
23,0.01085218331111329,0.01800306971916663,783.128856420517
24,0.009479633814078712,0.017566259631088803,786.4804701805115
25,0.007842650379808176,0.008542476754103388,788.6719343662262
26,0.006872679605370476,0.015486547789935554,792.7272295951843
27,0.006361518881860233,0.022893045849299857,786.4363701343536
28,0.00898575406344164,0.015175345446914434,787.0967345237732
29,0.02073617735434146,0.045573972804205755,797.0921397209167
30,0.01674356717971109,0.015592421724327973,794.6276502609253
31,0.007828419028470913,0.016987366814698493,800.4859230518341
32,0.006854783296585083,0.016991708294621537,805.9837718009949
33,0.005565114827560527,0.01251005481795541,806.1109035015106
34,0.005936169124962318,0.013234355034572737,795.707891702652
35,0.005044007280043193,0.013454628323337861,793.8610813617706
36,0.005038447805813381,0.01347636959648558,782.6884407997131
37,0.004685916281526997,0.012467951530457608,782.3828258514404
38,0.00514624666067816,0.013792154578758138,806.5936489105225
39,0.006844585066040357,0.01583888828754425,798.958859205246
40,0.004786916481597083,0.014352683633166765,792.2210078239441
41,0.0044439047894307545,0.016820621417303172,801.198096036911
42,0.007517886197283155,0.02129060381225177,799.2544391155243
43,0.009181861879215355,0.01792020803716566,810.4901280403137
44,0.007852595013876756,0.035624732289995464,806.147825717926
45,0.036753237954385225,0.17486357582466944,788.4597671031952
46,0.06251422391051338,0.0511759027838707,797.6797287464142
47,0.03342715570614452,0.03090375236102513,798.4863803386688
48,0.016390388496220112,0.0184155334053295,793.6388032436371
49,0.012524721558604922,0.020547544986142644,797.158118724823
50,0.018022584003351983,0.03390506601759365,797.9815745353699
51,0.009441879401870426,0.012402105890214444,806.0390772819519
52,0.006417652958826649,0.01365250320523046,794.5053613185883
53,0.006485987358859607,0.018588860612362625,786.1531038284302
54,0.009577048167231537,0.01725626327097416,793.7826859951019
55,0.005645508814070906,0.010521615650837443,788.5301785469055
56,0.004988563078499975,0.011918812564441135,804.6012721061707
57,0.005954791069740341,0.014257326402834484,803.08158659935
58,0.004943648269843487,0.011934804756726538,799.8550651073456
